budget,homepage,title,vote_count
237000000,http://www.avatarmovie.com/,Avatar,11800
300000000,http://disney.go.com/disneypictures/pirates/,Pirates of the Caribbean: At World's End,4500
245000000,http://www.sonypictures.com/movies/spectre/,Spectre,4466
250000000,http://www.thedarkknightrises.com/,The Dark Knight Rises,9106
260000000,http://movies.disney.com/john-carter,John Carter,2124
258000000,http://www.sonypictures.com/movies/spider-man3/,Spider-Man 3,3576
260000000,http://disney.go.com/disneypictures/tangled/,Tangled,3330
280000000,http://marvel.com/movies/movie/193/avengers_age_of_ultron,Avengers: Age of Ultron,6767
250000000,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,Harry Potter and the Half-Blood Prince,5293
250000000,http://www.batmanvsupermandawnofjustice.com/,Batman v Superman: Dawn of Justice,7004
270000000,http://www.superman.com,Superman Returns,1400
200000000,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,Quantum of Solace,2965
200000000,http://disney.go.com/disneypictures/pirates/,Pirates of the Caribbean: Dead Man's Chest,5246
255000000,http://disney.go.com/the-lone-ranger/,The Lone Ranger,2311
225000000,http://www.manofsteel.com/,Man of Steel,6359
225000000,,The Chronicles of Narnia: Prince Caspian,1630
220000000,http://marvel.com/avengers_movie/,The Avengers,11776
380000000,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,Pirates of the Caribbean: On Stranger Tides,4948
225000000,http://www.sonypictures.com/movies/meninblack3/,Men in Black 3,4160
250000000,http://www.thehobbit.com/,The Hobbit: The Battle of the Five Armies,4760
215000000,http://www.theamazingspiderman.com,The Amazing Spider-Man,6586
200000000,http://www.robinhoodthemovie.com/,Robin Hood,1398
250000000,http://www.thehobbit.com/,The Hobbit: The Desolation of Smaug,4524
180000000,http://www.goldencompassmovie.com/index_german.html,The Golden Compass,1303
207000000,,King Kong,2337
200000000,http://www.titanicmovie.com,Titanic,7562
250000000,http://marvel.com/captainamericapremiere,Captain America: Civil War,7241
209000000,,Battleship,2114
150000000,http://www.jurassicworld.com/,Jurassic World,8662
200000000,http://www.skyfall-movie.com,Skyfall,7604
200000000,http://www.sonypictures.com/movies/spider-man2/,Spider-Man 2,4321
200000000,http://marvel.com/ironman3,Iron Man 3,8806
200000000,http://disney.go.com/wonderland/,Alice in Wonderland,4645
210000000,,X-Men: The Last Stand,3525
200000000,,Monsters University,3528
150000000,http://www.transformersmovie.com/,Transformers: Revenge of the Fallen,3138
210000000,http://www.transformersmovie.com,Transformers: Age of Extinction,3095
200000000,http://www.ozthegreatandpowerfulmovie.com,Oz: The Great and Powerful,3530
200000000,http://www.theamazingspiderman.com,The Amazing Spider-Man 2,4179
170000000,http://disney.go.com/tron/,TRON: Legacy,2841
200000000,http://www.disney.go.com/cars/,Cars 2,2033
200000000,http://greenlanternmovie.warnerbros.com/,Green Lantern,2487
200000000,http://disney.go.com/toystory/,Toy Story 3,4597
200000000,https://www.warnerbros.com/terminator-salvation,Terminator Salvation,2463
190000000,http://www.furious7.com/,Furious 7,4176
200000000,http://www.worldwarzmovie.com,World War Z,5560
250000000,http://www.x-menmovies.com/,X-Men: Days of Future Past,6032
190000000,,Star Trek Into Darkness,4418
195000000,http://jackthegiantkiller.warnerbros.com,Jack the Giant Slayer,2598
105000000,,The Great Gatsby,3769
150000000,http://disney.go.com/disneypictures/princeofpersia,Prince of Persia: The Sands of Time,2317
180000000,http://www.pacificrimmovie.com/,Pacific Rim,4794
195000000,http://www.transformersmovie.com/,Transformers: Dark of the Moon,3299
185000000,http://www.indianajones.com/site/index.html,Indiana Jones and the Kingdom of the Crystal Skull,2495
175000000,http://movies.disney.com/the-good-dinosaur,The Good Dinosaur,1736
185000000,http://disney.go.com/brave/#/home,Brave,4641
185000000,http://www.startrekmovie.com/,Star Trek Beyond,2568
180000000,http://disney.go.com/disneypictures/wall-e/,WALLÂ·E,6296
140000000,,Rush Hour 3,783
200000000,http://www.sonypictures.com/movies/2012,2012,4903
176000003,http://www.jupiterascending.com,Jupiter Ascending,2768
180000000,http://legendoftarzan.com,The Legend of Tarzan,2430
180000000,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2629
178000000,http://www.foxmovies.com/movies/x-men-apocalypse,X-Men: Apocalypse,4721
185000000,http://thedarkknight.warnerbros.com/dvdsite/,The Dark Knight,12002
175000000,http://disney.go.com/disneypictures/up/,Up,6870
175000000,http://www.monstersvsaliens.com/,Monsters vs Aliens,1423
140000000,http://www.ironmanmovie.com/,Iron Man,8776
170000000,http://www.hugomovie.com/,Hugo,2141
170000000,,Wild Wild West,1020
145000000,http://www.themummy.com/,The Mummy: Tomb of the Dragon Emperor,1387
175000000,http://www.suicidesquad.com/,Suicide Squad,7458
175000000,http://www.evanalmighty.com/,Evan Almighty,1151
178000000,http://www.edgeoftomorrowmovie.com/,Edge of Tomorrow,4858
175000000,,Waterworld,992
175000000,http://www.gijoemovie.com/,G.I. Joe: The Rise of Cobra,1962
175000000,http://movies.disney.com/inside-out,Inside Out,6560
175000000,http://movies.disney.com/the-jungle-book-2016,The Jungle Book,2892
200000000,http://www.ironmanmovie.com/,Iron Man 2,6849
170000000,http://www.snowwhiteandthehuntsman.com/,Snow White and the Huntsman,3118
180000000,http://movies.disney.com/maleficent,Maleficent,4496
170000000,http://www.dawnofapes.com/,Dawn of the Planet of the Apes,4410
27000000,,The Lovers,34
175000000,,47 Ronin,1326
170000000,http://www.captainamericathewintersoldiermovie.com,Captain America: The Winter Soldier,5764
165000000,http://www.shrekforeverafter.com/,Shrek Forever After,1959
190000000,http://movies.disney.com/tomorrowland,Tomorrowland,2846
165000000,http://movies.disney.com/big-hero-6,Big Hero 6,6135
165000000,http://disney.go.com/wreck-it-ralph,Wreck-It Ralph,4570
165000000,,The Polar Express,1474
165000000,http://www.warof1996.com,Independence Day: Resurgence,2491
165000000,http://www.howtotrainyourdragon.com/,How to Train Your Dragon,4227
200000000,,Terminator 3: Rise of the Machines,2143
170000000,http://marvel.com/guardians,Guardians of the Galaxy,9742
165000000,http://www.interstellarmovie.net/,Interstellar,10867
160000000,http://inceptionmovie.warnerbros.com/,Inception,13752
15000000,,Shin Godzilla,143
250000000,http://www.thehobbit.com/,The Hobbit: An Unexpected Journey,8297
